Hawker,latitude,longitude
Adam Road Food Centre,1.3240827139625,103.814182099841
Amoy Street Food Centre,1.2793398636571,103.846652482254
Bedok Food Centre,1.32034716834128,103.955480570427
Beo Crescent Market,1.28883089150258,103.827353892228
Berseh Food Centre,1.30734410946371,103.856888783769
Bukit Timah Market,1.33945242854685,103.776007306701
Chomp Chomp Food Centre,1.36423252476886,103.86652701738
Commonwealth Crescent Market,1.30690013206335,103.800367271218
Dunman Food Centre,1.30941788760759,103.901825408227
East Coast Lagoon Food Village,1.30726106591172,103.934799737098
Geylang Serai Market,1.31672515005311,103.897977411392
Golden Mile Food Centre,1.30314175320333,103.863877615334
Holland Village Market & Food Centre,1.31107297402127,103.794876419662
Kallang Estate Market,1.30734398370473,103.884017699319
Market Street Food Centre,1.28532379322674,103.845776735598
Maxwell Food Centre,1.28033142727315,103.844747227479
Newton Food Centre,1.31191552031274,103.839569728721
North Bridge Road Market & Food Centre,1.30563433652207,103.863909336656
Pasir Panjang Food Centre,1.27591797439292,103.791410908656
Serangoon Garden Market,1.36308501111104,103.866724949118
Sembawang Hill Food Centre,1.37231949296183,103.829018145089
Taman Jurong Market & Food Centre,1.3347210661928,103.721583797451
Tanglin Halt Market,1.30054407507427,103.797737980247
Tiong Bahru Market,1.28478559810371,103.832181546885
Zion Riverside Food Centre,1.2923422114207,103.831189023623
ABC Brickworks Market & Food Centre,1.28688297261475,103.808131274161
Albert Centre Market & Food Centre,1.30100149635856,103.854211650138
Alexandra Village Food Centre,1.28630594274136,103.804492637648
1 Jalan Kukoh,1.2882310152805,103.839934168065
105 Hougang Ave 1,1.35408273910145,103.890130407955
11 Telok Blangah Crescent,1.27736813225761,103.818651524334
112 Jalan Bukit Merah,1.28000480135122,103.82601329621
115 Bukit Merah View,1.28550445567433,103.821823256087
117 Aljunied Ave 2,1.32064636781982,103.88702414
127 Toa Payoh Lorong 1,1.33804625287728,103.844733922883
137 Tampines Street 11,1.34537347373749,103.944629422828
159 Mei Chin Road,1.29323624443735,103.802903871889
16 Bedok South Road,1.32050083785242,103.935473637292
163 Bukit Merah Central,1.28366139597446,103.817072717954
17 Upper Boon Keng Road,1.31502841514731,103.87162041674
20 Ghim Moh Road,1.31099663218896,103.78823030662
208B New Upper Changi Road,1.32478236985627,103.930570304559
210 Toa Payoh Lorong 8,1.3402610461881,103.854395758866
216 Bedok North Street 1,1.32706274205746,103.933217970746
22 Toa Payoh Lorong 7,1.33538261333779,103.857003709119
226D Ang Mo Kio Ave 1,1.36680096218071,103.839152274224
226H Ang Mo Kio Street 22,1.36717874094695,103.840157741978
254 Jurong East Street 24,1.34348818520494,103.73773841183
29 Bendemeer Road,1.31921667890113,103.863020922593
320 Shunfu Road,1.35200745401591,103.837031862103
341 Ang Mo Kio Ave 1,1.36384516921846,103.84806729788
347 Jurong East Ave 1,1.34541698312776,103.731703838354
353 Clementi Ave 2,1.31437917978956,103.770919561136
36 Telok Blangah Rise,1.27260703348585,103.822028389533
37A Teban Gardens Road,1.32083109341424,103.742748119105
409 Ang Mo Kio Ave 10,1.36265410749321,103.855288297631
44 Holland Drive,1.30811780015992,103.792773769341
448 Clementi Ave 3,1.31331969319644,103.764517192874
453A Ang Mo Kio Ave 10,1.36824053741879,103.856351467175
49 Sims Place,1.31703502375324,103.879309854774
4A Eunos Crescent,1.32033126010096,103.904256478426
4A Jalan Batu,1.30236034827101,103.883909473726
Woodlands Centre Road,1.43903831450662,103.769799867546
502 West  Coast Drive,1.31190695723944,103.759128018939
503 West Coast Drive,1.31180308926424,103.759751405542
505 Jurong West Street 52,1.34965729130746,103.718443677825
50A Marine Terrace,1.30572973591916,103.915737035334
51 Old Airport Road,1.3082518471287,103.88580870609
511 Bedok North Street 3,1.33321993297265,103.930581522776
527 Ang Mo Kio Ave 10,1.37277209302753,103.854457955288
538 Bedok North Street 3,1.3320672771228,103.924621314971
58 New Upper Changi Road,1.32420087334002,103.941125277547
6 Tanjong Pagar Plaza,1.27661464758769,103.843167023188
628 Ang Mo Kio Ave 4,1.38098761665454,103.840628087484
630 Bedok Reservoir Road,1.33277279217212,103.914190840298
69 Geylang Bahru,1.32146311046779,103.870005014547
7 Empress Road,1.31624574394049,103.805636419935
724 Ang Mo Kio Ave 6,1.37217258545171,103.846510310202
726 Clementi West Street 2,1.30381073184127,103.764250748436
74 Toa Payoh Lorong 4,1.3345507487214,103.852003509176
75 Toa Payoh Lorong 5,1.336020767662,103.852956988062
79 Redhill Lane,1.2878470282227,103.818349792057
79 Telok Blangah Drive,1.27335599353959,103.807618129935
80 Circuit Road,1.32783414615937,103.887102669236
82 Telok Blangah Drive,1.27389076775628,103.807900337544
84 Marine Parade Central,1.30228520968842,103.906288669909
85 Bedok North Street 4,1.33200482399436,103.93876843919
85 Redhill Lane,1.28730751501552,103.818311195307
89 Circuit Road,1.32357971400582,103.885438842474
90 Whampoa Drive,1.32306493801159,103.854996183556
93 Toa Payoh Lorong 4,1.33847469611073,103.849513448853
13/14 Haig Road,1.31514204972284,103.895609544204
Mayflower Market and Food Centre,1.37452773784115,103.839176060905
Tanglin Halt Food Centre,1.29960011932959,103.798065784505
Changi Village Hawker Centre,1.38965834308064,103.988091826679
20/21 Marsiling Lane,1.44383165244262,103.777210383669
221 A/B Boon Lay Place,1.34576075706899,103.713083742931
22 Havelock Road,1.28874603704088,103.828824191655
Circuit Road Hawker Centre,1.32357971400582,103.885438842474
Whampoa Drive,1.32306493801159,103.854996183556
Chinatown Market,1.28223521144332,103.843177640795
Chong Pang Market & Food Centre,1.43144775158984,103.828537671885
Hong Lim Market & Food Centre,1.28532379322674,103.845776735598
Kovan Market & Food Centre,1.35908384091048,103.886055368064
Pek Kio Market & Food Centre,1.31613128029458,103.850232935162
People's Park Food Centre,1.28497943108466,103.84256768083
Tekka Market,1.30617705325622,103.85061131325
